app,appLabel,sitelinks
http://www.wikidata.org/entity/Q5428986,Humanistiska fakulteten,33
http://www.wikidata.org/entity/Q1141245,Insomniac Games,32
http://www.wikidata.org/entity/Q3077586,Bilibili,32
http://www.wikidata.org/entity/Q1054844,Taito,32
http://www.wikidata.org/entity/Q105198,Veselí nad Moravou,32
http://www.wikidata.org/entity/Q824192,The Daily Show,32
http://www.wikidata.org/entity/Q98274039,American Song Contest,32
http://www.wikidata.org/entity/Q1000078,Moravská Třebová,32
http://www.wikidata.org/entity/Q1479654,John Wiley & Sons,32
http://www.wikidata.org/entity/Q1329478,Tjeckiens tekniska universitet,32
http://www.wikidata.org/entity/Q936287,English Heritage,32
http://www.wikidata.org/entity/Q580866,THQ,31
http://www.wikidata.org/entity/Q605401,Condé Nast,31
http://www.wikidata.org/entity/Q657415,Cleveland Museum of Art,31
http://www.wikidata.org/entity/Q349566,Hachette,31
http://www.wikidata.org/entity/Q341134,Česká televize,31
http://www.wikidata.org/entity/Q466113,American Physical Society,31
http://www.wikidata.org/entity/Q955609,Universitetet i Ferrara,31
http://www.wikidata.org/entity/Q917031,Brill,31
http://www.wikidata.org/entity/Q1464509,National Gallery of Victoria,31
http://www.wikidata.org/entity/Q1251563,Doubleday,31
http://www.wikidata.org/entity/Q4115772,The Voice,31
http://www.wikidata.org/entity/Q3803707,Istituto Centrale per il Catalogo Unico,31
http://www.wikidata.org/entity/Q905549,Royal Society of Chemistry,31
http://www.wikidata.org/entity/Q36001,WWE Hall of Fame,31
http://www.wikidata.org/entity/Q1637611,Palacký-universitetet,31
http://www.wikidata.org/entity/Q23901,Codemasters,30
http://www.wikidata.org/entity/Q628249,Interplay Entertainment,30
http://www.wikidata.org/entity/Q660288,Viz Media,30
http://www.wikidata.org/entity/Q578326,Jyväskylä universitet,30
http://www.wikidata.org/entity/Q1122595,Field Museum,30
http://www.wikidata.org/entity/Q163569,Nickelodeon Kids' Choice Awards,30
http://www.wikidata.org/entity/Q898067,Watch Tower Bible and Tract Society of Pennsylvania,30
http://www.wikidata.org/entity/Q1028334,Cambridges universitetsbibliotek,30
http://www.wikidata.org/entity/Q930414,Top of the Pops,30
http://www.wikidata.org/entity/Q1383563,Telltale Games,29
http://www.wikidata.org/entity/Q795228,National Gallery of Australia,29
http://www.wikidata.org/entity/Q463435,American Astronomical Society,29
http://www.wikidata.org/entity/Q1232428,Baskiens universitet,29
http://www.wikidata.org/entity/Q467561,America's Got Talent,29
http://www.wikidata.org/entity/Q880582,Taylor & Francis,29
http://www.wikidata.org/entity/Q122848967,81st Golden Globe Awards,29
http://www.wikidata.org/entity/Q126903106,82nd Golden Globe Awards,29
http://www.wikidata.org/entity/Q2081494,The Ed Sullivan Show,29
http://www.wikidata.org/entity/Q1645059,Johns Hopkins University Press,29
http://www.wikidata.org/entity/Q304795,Melodi Grand Prix,29
http://www.wikidata.org/entity/Q267427,Humble Bundle,28
http://www.wikidata.org/entity/Q372471,Wargaming.net,28
http://www.wikidata.org/entity/Q513712,Pony Canyon,28
http://www.wikidata.org/entity/Q587270,Games Workshop,28
http://www.wikidata.org/entity/Q1105202,Cochrane Collaboration,28
http://www.wikidata.org/entity/Q37276325,Eurovision Song Contest Asia,28
http://www.wikidata.org/entity/Q2985460,Comité flamand de France,28
http://www.wikidata.org/entity/Q497935,What? Where? When?,28
http://www.wikidata.org/entity/Q954854,Sokol,28
http://www.wikidata.org/entity/Q1135204,Wizards of the Coast,27
http://www.wikidata.org/entity/Q780528,Q780528,27
http://www.wikidata.org/entity/Q1046593,Gearbox Software,27
http://www.wikidata.org/entity/Q2319420,Warner Bros. Interactive Entertainment,27
http://www.wikidata.org/entity/Q1425861,GSC Game World,27
http://www.wikidata.org/entity/Q581954,University of Zimbabwe,27
http://www.wikidata.org/entity/Q465697,American Medical Association,27
http://www.wikidata.org/entity/Q89123741,Eurovision: Europe Shine a Light,27
http://www.wikidata.org/entity/Q94527193,Star Trek: Strange New Worlds,27
http://www.wikidata.org/entity/Q1457468,THQ Nordic,26
http://www.wikidata.org/entity/Q62513347,Apple Arcade,26
http://www.wikidata.org/entity/Q483036,NCsoft,26
http://www.wikidata.org/entity/Q1481820,Virgin Interactive,26
http://www.wikidata.org/entity/Q1049502,Hudson Soft,26
http://www.wikidata.org/entity/Q28686397,miHoYo,26
http://www.wikidata.org/entity/Q1355060,Miniclip,26
http://www.wikidata.org/entity/Q289953,ADAC,26
http://www.wikidata.org/entity/Q1887879,University of San Francisco,26
http://www.wikidata.org/entity/Q2529982,The New York Times Company,26
http://www.wikidata.org/entity/Q26281,Eurovision Young Dancers,26
http://www.wikidata.org/entity/Q1187807,Miss Frankrike,26
http://www.wikidata.org/entity/Q28736747,Marvel's Cloak & Dagger,26
http://www.wikidata.org/entity/Q738135,Aspyr,25
http://www.wikidata.org/entity/Q502698,Tysklands inrikesministerium,25
http://www.wikidata.org/entity/Q367205,Taschen,25
http://www.wikidata.org/entity/Q1423960,Open University of Israel,25
http://www.wikidata.org/entity/Q1431868,Alfred A. Knopf,25
http://www.wikidata.org/entity/Q3349399,Sahitya Akademi,25
http://www.wikidata.org/entity/Q907357,Monolith Productions,25
http://www.wikidata.org/entity/Q912279,Punk'd,25
http://www.wikidata.org/entity/Q995863,Brøderbund,24
http://www.wikidata.org/entity/Q1062171,The 3DO Company,24
http://www.wikidata.org/entity/Q297315,ASCII Media Works,24
http://www.wikidata.org/entity/Q336811,Q336811,24
http://www.wikidata.org/entity/Q390074,Houghton Mifflin Harcourt,24
http://www.wikidata.org/entity/Q1423559,Larry King Live,24
http://www.wikidata.org/entity/Q1247342,Mykolas Romeris University,24
http://www.wikidata.org/entity/Q5861276,Masterchef,24
http://www.wikidata.org/entity/Q1901416,Världens starkaste man,24
http://www.wikidata.org/entity/Q116909156,The Night Agent,24
http://www.wikidata.org/entity/Q431286,Pimp My Ride,24
http://www.wikidata.org/entity/Q674686,Level-5,23
http://www.wikidata.org/entity/Q958101,Jagex,23
http://www.wikidata.org/entity/Q475424,National Bureau of Economic Research,23
http://www.wikidata.org/entity/Q210081,Walters Art Museum,23
http://www.wikidata.org/entity/Q586581,Deutscher Gewerkschaftsbund,23
http://www.wikidata.org/entity/Q1089788,Kyrkan i Wales,23
http://www.wikidata.org/entity/Q1438747,Vremja,23
http://www.wikidata.org/entity/Q1241628,Naked News,23
http://www.wikidata.org/entity/Q1138556,La Fémis,23
http://www.wikidata.org/entity/Q911173,Chemical Abstracts Service,23
http://www.wikidata.org/entity/Q2674710,Dancing with the Stars,23
http://www.wikidata.org/entity/Q911673,Longman,23
http://www.wikidata.org/entity/Q1065097,O'Reilly Media,23
http://www.wikidata.org/entity/Q1190886,The Japan Times,23
http://www.wikidata.org/entity/Q28856068,Survivor,23
http://www.wikidata.org/entity/Q188374,Festivali i Këngës,23
http://www.wikidata.org/entity/Q1102214,NRJ Music Awards,23
http://www.wikidata.org/entity/Q2778411,Egyptian National Library and Archives,23
http://www.wikidata.org/entity/Q4806100,11 Bit Studios,22
http://www.wikidata.org/entity/Q1335998,Tomy,22
http://www.wikidata.org/entity/Q553658,Deep Silver,22
http://www.wikidata.org/entity/Q634246,Breitkopf & Härtel,22
http://www.wikidata.org/entity/Q377579,Baltimore Museum of Art,22
http://www.wikidata.org/entity/Q540891,Nielsen Company,22
http://www.wikidata.org/entity/Q419352,Akita Shoten,22
http://www.wikidata.org/entity/Q324689,Bambergs statsbibliotek,22
http://www.wikidata.org/entity/Q685162,Schwules Museum,22
http://www.wikidata.org/entity/Q199296,Ziff Davis,22
http://www.wikidata.org/entity/Q1340702,Janes,22
http://www.wikidata.org/entity/Q108809568,Twenty-Five Twenty-One,22
http://www.wikidata.org/entity/Q466760,Tomorrow's Pioneers,22
http://www.wikidata.org/entity/Q1262315,Pulas filmfestival,22
http://www.wikidata.org/entity/Q15085475,Panini SpA,22
