artist,artistLabel,sitelinks
http://www.wikidata.org/entity/Q266549,iamamiwhoami,16
http://www.wikidata.org/entity/Q725351,John Levén,16
http://www.wikidata.org/entity/Q44828,Timbuktu,16
http://www.wikidata.org/entity/Q297835,Sophie Zelmani,16
http://www.wikidata.org/entity/Q2355637,Jonas Renkse,16
http://www.wikidata.org/entity/Q440805,Christopher Amott,16
http://www.wikidata.org/entity/Q526545,Dan Swanö,16
http://www.wikidata.org/entity/Q720741,Georg Ericson,16
http://www.wikidata.org/entity/Q712236,Roine Stolt,16
http://www.wikidata.org/entity/Q713270,Ulf Lundell,16
http://www.wikidata.org/entity/Q959391,Hilding Rosenberg,16
http://www.wikidata.org/entity/Q451402,Valborg Aulin,16
http://www.wikidata.org/entity/Q966593,Fredrik Åkesson,16
http://www.wikidata.org/entity/Q562541,Ola Brunkert,16
http://www.wikidata.org/entity/Q861420,Christofer Johnsson,16
http://www.wikidata.org/entity/Q1236566,Robert Wells,16
http://www.wikidata.org/entity/Q2089260,Adrian Erlandsson,16
http://www.wikidata.org/entity/Q2014441,Peter Lindgren,16
http://www.wikidata.org/entity/Q2427845,Björn Afzelius,16
http://www.wikidata.org/entity/Q127340,Miss Li,16
http://www.wikidata.org/entity/Q28531431,Faia Younan,16
http://www.wikidata.org/entity/Q4962829,Berit Lindholm,16
http://www.wikidata.org/entity/Q23007299,Wintergatan,15
http://www.wikidata.org/entity/Q818046,Benny Borg,15
http://www.wikidata.org/entity/Q137445,Tomas Haake,15
http://www.wikidata.org/entity/Q704992,Ludvig Norman,15
http://www.wikidata.org/entity/Q1348163,Erland von Koch,15
http://www.wikidata.org/entity/Q1378879,Povel Ramel,15
http://www.wikidata.org/entity/Q22082517,Molly Nilsson,15
http://www.wikidata.org/entity/Q2599500,Maja Ivarsson,15
http://www.wikidata.org/entity/Q1505766,Georg Riedel,15
http://www.wikidata.org/entity/Q724956,Jens Lekman,15
http://www.wikidata.org/entity/Q1796695,Ellen Gulbranson,15
http://www.wikidata.org/entity/Q2708137,Sigrid Arnoldson,15
http://www.wikidata.org/entity/Q1458248,The Poodles,14
http://www.wikidata.org/entity/Q1785962,Persone,14
http://www.wikidata.org/entity/Q692240,Arne Domnérus,14
http://www.wikidata.org/entity/Q254518,Astrid Varnay,14
http://www.wikidata.org/entity/Q271602,Anna Ternheim,14
http://www.wikidata.org/entity/Q729770,Lars Danielsson,14
http://www.wikidata.org/entity/Q1157173,Dag Wirén,14
http://www.wikidata.org/entity/Q383821,"Janne ""Loffe"" Carlsson",14
http://www.wikidata.org/entity/Q1082262,Andreas Kleerup,14
http://www.wikidata.org/entity/Q2578127,Snowy Shaw,14
http://www.wikidata.org/entity/Q1985895,Niclas Engelin,14
http://www.wikidata.org/entity/Q16946297,Silvana Imam,14
http://www.wikidata.org/entity/Q3180104,Niklas Kvarforth,14
http://www.wikidata.org/entity/Q84323645,Ecco2K,14
http://www.wikidata.org/entity/Q2857741,Edda Magnason,14
http://www.wikidata.org/entity/Q710593,Otto Lindblad,14
http://www.wikidata.org/entity/Q29641372,Tobias Forge,14
http://www.wikidata.org/entity/Q26835667,Tommy Johansson,14
http://www.wikidata.org/entity/Q525152,Salem Al Fakir,14
http://www.wikidata.org/entity/Q4940969,Pauline Brunius,14
http://www.wikidata.org/entity/Q650668,Nils Landgren,13
http://www.wikidata.org/entity/Q138143,Mårten Hagström,13
http://www.wikidata.org/entity/Q370899,Jan Lundgren,13
http://www.wikidata.org/entity/Q434162,Maia Hirasawa,13
http://www.wikidata.org/entity/Q441130,Kattis Ahlström,13
http://www.wikidata.org/entity/Q527705,Emil Sjögren,13
http://www.wikidata.org/entity/Q726556,Bengt Hallberg,13
http://www.wikidata.org/entity/Q26029,Mika Karppinen,13
http://www.wikidata.org/entity/Q952137,Mattias Eklundh,13
http://www.wikidata.org/entity/Q1383979,Rune Gustafsson,13
http://www.wikidata.org/entity/Q4989335,Laura Netzel,13
http://www.wikidata.org/entity/Q11993311,Ola Englund,13
http://www.wikidata.org/entity/Q1384168,Mats Gustafsson,13
http://www.wikidata.org/entity/Q788482,Bobo Stenson,13
http://www.wikidata.org/entity/Q1603685,Rutger Gunnarsson,13
http://www.wikidata.org/entity/Q27031728,Mike Perry,13
http://www.wikidata.org/entity/Q2418625,Fredrik Kempe,13
http://www.wikidata.org/entity/Q1822069,Lewi Pethrus,13
http://www.wikidata.org/entity/Q60194917,Winona Oak,13
http://www.wikidata.org/entity/Q856272,Bibi Johns,13
http://www.wikidata.org/entity/Q6196673,Pär Sundström,13
http://www.wikidata.org/entity/Q1347620,Francesco Antonio Uttini,13
http://www.wikidata.org/entity/Q663892,Leif Edling,12
http://www.wikidata.org/entity/Q961572,Martin Fröst,12
http://www.wikidata.org/entity/Q440081,Fredrika Stahl,12
http://www.wikidata.org/entity/Q547835,Glenn Ljungström,12
http://www.wikidata.org/entity/Q723445,Janne Schaffer,12
http://www.wikidata.org/entity/Q953416,Mathias Färm,12
http://www.wikidata.org/entity/Q2607278,Tony Reno,12
http://www.wikidata.org/entity/Q2706536,Martin Axenrot,12
http://www.wikidata.org/entity/Q1675681,Ivar Hallström,12
http://www.wikidata.org/entity/Q1554806,Gunnar de Frumerie,12
http://www.wikidata.org/entity/Q1736370,Nicke Andersson,12
http://www.wikidata.org/entity/Q2457132,Fredrik Nordström,12
http://www.wikidata.org/entity/Q3353749,Mike Wead,12
http://www.wikidata.org/entity/Q2658292,Solar Fields,12
http://www.wikidata.org/entity/Q4968368,Helena Munktell,12
http://www.wikidata.org/entity/Q6199100,Peter Svensson,12
http://www.wikidata.org/entity/Q6167207,Jay Smith,12
http://www.wikidata.org/entity/Q2651539,Lisa Werlinder,12
http://www.wikidata.org/entity/Q764212,August Söderman,12
http://www.wikidata.org/entity/Q210123,Caroline af Ugglas,12
http://www.wikidata.org/entity/Q719957,Christer Sjögren,12
